id,warehouse_block,mode_of_shipment,cost_of_product,prior_purchases,product_importance,gender,discount_offered,weight_gms,customer_care_calls,customer_rating,reached_on_time,weight_bucket,high_value,discount_tier,warehouse_enc,shipment_enc,importance_enc,gender_enc
36,F,Ship,149,3,medium,F,44,1811,5,4,1,Light,0,High,4,2,1,0
37,D,Ship,137,4,high,F,62,1477,3,5,1,Light,0,High,3,2,2,0
38,F,Ship,181,6,medium,F,16,3605,2,4,1,Medium,0,Medium,4,2,1,0
39,A,Ship,215,4,low,F,56,3905,5,1,1,Medium,0,High,0,2,0,0
40,B,Ship,269,5,low,F,45,2383,4,2,1,Medium,1,High,1,2,0,0
41,C,Ship,227,2,low,M,15,3798,5,1,1,Medium,0,Medium,2,2,0,1
42,F,Ship,139,4,medium,M,61,1265,5,5,1,Light,0,High,4,2,1,1
43,D,Ship,137,2,medium,M,38,1647,3,5,1,Light,0,High,3,2,1,1
44,F,Ship,174,2,low,M,44,1556,3,1,1,Light,0,High,4,2,0,1
45,A,Ship,151,2,low,M,29,1328,3,1,1,Light,0,Medium,0,2,0,1
46,B,Ship,210,3,low,F,9,2944,5,1,1,Medium,0,Low,1,2,0,0
47,C,Ship,169,4,medium,F,32,1245,3,4,1,Light,0,High,2,2,1,0
48,F,Ship,160,2,low,M,32,1576,5,1,1,Light,0,High,4,2,0,1
49,D,Ship,190,2,medium,M,9,3753,5,4,1,Medium,0,Low,3,2,1,1
50,F,Ship,216,3,low,F,40,2146,5,3,1,Medium,0,High,4,2,0,0
51,A,Ship,183,3,low,M,37,2042,4,1,1,Medium,0,High,0,2,0,1
52,B,Ship,141,3,low,M,22,1735,4,4,1,Light,0,Medium,1,2,0,1
53,C,Ship,165,3,low,F,44,1320,4,3,1,Light,0,High,2,2,0,0
54,F,Ship,170,3,low,M,41,1128,2,1,1,Light,0,High,4,2,0,1
55,D,Ship,203,3,high,M,12,3539,4,3,1,Medium,0,Medium,3,2,2,1
56,F,Ship,246,5,low,M,46,2437,2,5,1,Medium,0,High,4,2,0,1
57,A,Ship,238,3,low,F,61,3096,3,3,1,Medium,0,High,0,2,0,0
58,B,Ship,193,3,medium,F,29,3453,3,3,1,Medium,0,Medium,1,2,1,0
59,C,Ship,141,3,high,M,41,1367,5,5,1,Light,0,High,2,2,2,1
60,F,Ship,150,3,high,F,17,1923,4,1,1,Light,0,Medium,4,2,2,0
61,D,Ship,221,3,low,F,64,2794,3,1,1,Medium,0,High,3,2,0,0
62,F,Ship,179,3,medium,M,52,1158,3,3,1,Light,0,High,4,2,1,1
63,A,Ship,105,6,medium,M,62,1292,5,1,1,Light,0,High,0,2,1,1
64,B,Ship,177,3,medium,M,61,1880,3,1,1,Light,0,High,1,2,1,1
65,C,Ship,261,2,high,M,49,3045,4,5,1,Medium,1,High,2,2,2,1
66,F,Ship,202,3,low,M,49,2881,3,2,1,Medium,0,High,4,2,0,1
67,D,Ship,109,3,medium,F,15,1710,3,2,1,Light,0,Medium,3,2,1,0
68,F,Ship,158,3,low,F,6,1878,3,3,1,Light,0,Low,4,2,0,0
69,A,Ship,231,4,medium,F,6,2512,4,2,1,Medium,0,Low,0,2,1,0
70,B,Ship,206,3,medium,M,39,2929,3,5,1,Medium,0,High,1,2,1,1
71,C,Ship,187,4,high,M,14,3849,5,1,1,Medium,0,Medium,2,2,2,1
72,F,Ship,230,2,low,F,2,2229,5,5,1,Medium,0,Low,4,2,0,0
73,D,Ship,232,3,medium,F,33,2998,5,5,1,Medium,0,High,3,2,1,0
74,F,Ship,215,3,medium,F,21,3984,4,5,1,Medium,0,Medium,4,2,1,0
75,A,Ship,238,6,low,F,13,2442,6,1,1,Medium,0,Medium,0,2,0,0
76,B,Ship,266,3,low,F,23,3775,4,1,1,Medium,1,Medium,1,2,0,0
77,C,Ship,158,2,medium,F,36,1788,2,3,1,Light,0,High,2,2,1,0
78,F,Ship,113,3,low,F,43,1518,3,3,1,Light,0,High,4,2,0,0
79,D,Ship,223,3,low,M,18,3959,3,4,1,Medium,0,Medium,3,2,0,1
80,F,Ship,257,2,medium,F,56,3711,3,5,1,Medium,1,High,4,2,1,0
81,A,Ship,180,2,medium,F,49,1942,3,4,1,Light,0,High,0,2,1,0
82,B,Ship,132,3,low,M,18,1759,2,5,1,Light,0,Medium,1,2,0,1
83,C,Ship,217,3,high,F,26,2875,4,4,1,Medium,0,Medium,2,2,2,0
84,F,Ship,162,3,high,F,31,1364,5,5,1,Light,0,High,4,2,2,0
85,D,Ship,197,2,medium,F,40,2710,4,5,1,Medium,0,High,3,2,1,0
86,F,Ship,197,3,medium,M,13,2148,3,4,1,Medium,0,Medium,4,2,1,1
87,A,Ship,185,2,low,M,44,2910,4,1,1,Medium,0,High,0,2,0,1
88,B,Ship,278,3,medium,F,3,2974,6,2,1,Medium,1,Low,1,2,1,0
89,C,Ship,229,3,low,M,49,2339,3,3,1,Medium,0,High,2,2,0,1
90,F,Ship,186,4,medium,F,57,3880,4,1,1,Medium,0,High,4,2,1,0
91,D,Ship,174,6,high,F,41,1085,5,3,1,Light,0,High,3,2,2,0
92,F,Ship,286,3,low,F,18,3163,5,5,1,Medium,1,Medium,4,2,0,0
93,A,Ship,175,2,medium,F,7,1188,4,4,1,Light,0,Low,0,2,1,0
94,B,Ship,219,3,medium,F,17,3387,3,3,1,Medium,0,Medium,1,2,1,0
95,C,Ship,213,4,high,F,35,2343,4,1,1,Medium,0,High,2,2,2,0
96,F,Ship,235,3,low,M,57,2034,2,3,1,Medium,0,High,4,2,0,1
97,D,Ship,149,2,medium,M,18,1225,3,3,1,Light,0,Medium,3,2,1,1
98,F,Ship,271,2,medium,F,8,2401,4,1,1,Medium,1,Low,4,2,1,0
99,A,Ship,144,4,medium,M,5,1104,3,5,1,Light,0,Low,0,2,1,1
100,B,Ship,145,2,medium,M,21,1617,4,2,1,Light,0,Medium,1,2,1,1
101,C,Ship,143,2,medium,M,59,1837,5,3,1,Light,0,High,2,2,1,1
102,F,Ship,227,4,low,M,53,2624,5,5,1,Medium,0,High,4,2,0,1
103,D,Ship,213,3,low,M,29,2732,2,1,1,Medium,0,Medium,3,2,0,1
104,F,Ship,144,4,low,M,37,1658,5,1,1,Light,0,High,4,2,0,1
105,A,Ship,218,3,low,M,3,2255,3,3,1,Medium,0,Low,0,2,0,1
106,B,Ship,144,3,medium,M,59,1588,4,2,1,Light,0,High,1,2,1,1
107,C,Ship,238,3,low,M,17,2624,3,1,1,Medium,0,Medium,2,2,0,1
108,F,Ship,216,3,high,M,26,2053,4,5,1,Medium,0,Medium,4,2,2,1
109,D,Ship,238,3,high,F,55,3257,4,5,1,Medium,0,High,3,2,2,0
110,F,Ship,141,3,medium,M,47,1250,4,1,1,Light,0,High,4,2,1,1
111,A,Road,158,2,low,M,2,1284,3,1,1,Light,0,Low,0,1,0,1
112,B,Road,239,3,low,F,65,3679,4,2,1,Medium,0,High,1,1,0,0
113,C,Road,175,2,low,M,25,1816,4,3,1,Light,0,Medium,2,1,0,1
114,F,Road,263,3,low,M,41,2817,3,2,1,Medium,1,High,4,1,0,1
115,D,Road,168,2,high,M,50,1616,3,5,1,Light,0,High,3,1,2,1
116,F,Road,176,3,high,M,36,1779,3,4,1,Light,0,High,4,1,2,1
117,A,Road,150,4,high,M,60,1024,4,1,1,Light,0,High,0,1,2,1
118,B,Road,265,2,medium,F,31,2326,4,3,1,Medium,1,High,1,1,1,0
119,C,Road,263,3,low,F,5,2947,2,5,1,Medium,1,Low,2,1,0,0
120,F,Road,145,3,low,M,20,1387,5,1,1,Light,0,Medium,4,1,0,1
121,D,Road,183,3,low,F,33,2741,4,2,1,Medium,0,High,3,1,0,0
122,F,Road,205,3,medium,F,19,2167,3,3,1,Medium,0,Medium,4,1,1,0
123,A,Road,160,3,low,M,64,1714,4,2,1,Light,0,High,0,1,0,1
124,B,Road,252,2,medium,F,48,2102,3,3,1,Medium,1,High,1,1,1,0
125,C,Road,222,3,low,M,10,2280,5,5,1,Medium,0,Low,2,1,0,1
126,F,Road,203,2,low,M,25,3607,3,3,1,Medium,0,Medium,4,1,0,1
127,D,Road,220,3,medium,M,40,3516,4,5,1,Medium,0,High,3,1,1,1
128,F,Road,147,4,low,F,60,1722,3,3,1,Light,0,High,4,1,0,0
129,A,Road,200,4,medium,M,16,2060,4,4,1,Medium,0,Medium,0,1,1,1
130,B,Road,224,4,medium,M,21,2026,4,5,1,Medium,0,Medium,1,1,1,1
131,C,Road,179,2,low,F,17,1364,3,5,1,Light,0,Medium,2,1,0,0
132,F,Road,144,3,low,M,50,1865,3,4,1,Light,0,High,4,1,0,1
133,D,Flight,247,3,low,M,17,3889,5,2,1,Medium,0,Medium,3,0,0,1
134,F,Flight,280,6,medium,F,51,3582,5,4,1,Medium,1,High,4,0,1,0
135,A,Flight,168,2,medium,F,1,1829,3,3,1,Light,0,Low,0,0,1,0
136,B,Flight,157,3,medium,F,4,1889,3,5,1,Light,0,Low,1,0,1,0
137,C,Flight,189,4,medium,F,51,2208,3,3,1,Medium,0,High,2,0,1,0
138,F,Flight,162,2,medium,M,7,1739,3,5,1,Light,0,Low,4,0,1,1
139,D,Flight,207,5,low,M,48,2399,4,1,1,Medium,0,High,3,0,0,1
140,F,Flight,237,2,low,F,10,3860,5,1,1,Medium,0,Low,4,0,0,0
141,A,Flight,264,3,high,M,59,2020,4,4,1,Medium,1,High,0,0,2,1
142,B,Flight,149,3,low,M,51,1645,5,4,1,Light,0,High,1,0,0,1
143,C,Flight,162,3,low,M,41,1462,5,5,1,Light,0,High,2,0,0,1
144,F,Flight,205,4,medium,F,63,2156,2,1,1,Medium,0,High,4,0,1,0
145,D,Flight,158,3,medium,F,51,1540,2,1,1,Light,0,High,3,0,1,0
146,F,Flight,248,2,low,M,46,3707,2,2,1,Medium,0,High,4,0,0,1
147,A,Flight,191,3,low,M,23,3750,3,5,1,Medium,0,Medium,0,0,0,1
148,B,Flight,146,4,medium,F,24,1844,4,3,1,Light,0,Medium,1,0,1,0
149,C,Flight,135,3,low,M,56,1490,3,3,1,Light,0,High,2,0,0,1
150,F,Flight,149,3,low,M,40,1062,5,1,1,Light,0,High,4,0,0,1
151,D,Flight,220,2,medium,F,7,2551,4,4,1,Medium,0,Low,3,0,1,0
152,F,Flight,98,5,medium,M,44,1269,5,3,1,Light,0,High,4,0,1,1
153,A,Flight,97,4,low,M,32,1238,3,4,1,Light,0,High,0,0,0,1
154,B,Flight,183,2,low,M,53,3932,3,3,1,Medium,0,High,1,0,0,1
155,C,Ship,162,3,medium,F,8,1869,3,3,1,Light,0,Low,2,2,1,0
156,F,Ship,114,4,low,F,47,1443,5,1,1,Light,0,High,4,2,0,0
157,D,Ship,275,5,low,M,41,2491,6,3,1,Medium,1,High,3,2,0,1
158,F,Ship,203,2,medium,F,39,3845,3,2,1,Medium,0,High,4,2,1,0
159,A,Ship,205,2,high,M,65,3671,5,5,1,Medium,0,High,0,2,2,1
160,B,Ship,149,3,low,F,63,1946,3,3,1,Light,0,High,1,2,0,0
161,C,Ship,112,4,medium,M,56,1138,2,2,1,Light,0,High,2,2,1,1
162,F,Ship,207,3,medium,F,56,3482,3,1,1,Medium,0,High,4,2,1,0
163,D,Ship,261,4,low,F,58,3427,4,1,1,Medium,1,High,3,2,0,0
164,F,Ship,274,3,medium,M,6,3375,5,2,1,Medium,1,Low,4,2,1,1
165,A,Ship,141,2,low,M,52,1692,3,5,1,Light,0,High,0,2,0,1
166,B,Ship,166,4,medium,F,17,1498,3,3,1,Light,0,Medium,1,2,1,0
167,C,Ship,141,3,high,F,34,1020,5,2,1,Light,0,High,2,2,2,0
168,F,Ship,152,3,low,M,43,1709,4,5,1,Light,0,High,4,2,0,1
169,D,Ship,250,3,low,F,53,2478,4,2,1,Medium,0,High,3,2,0,0
170,F,Ship,161,3,medium,F,28,1809,4,3,1,Light,0,Medium,4,2,1,0
171,A,Ship,185,3,medium,F,10,2263,4,3,1,Medium,0,Low,0,2,1,0
172,B,Ship,176,4,high,F,52,1096,4,4,1,Light,0,High,1,2,2,0
173,C,Ship,148,3,low,M,56,1550,3,4,1,Light,0,High,2,2,0,1
174,F,Ship,270,3,low,F,63,2751,3,2,1,Medium,1,High,4,2,0,0
175,D,Ship,242,3,low,F,51,3935,3,3,1,Medium,0,High,3,2,0,0
176,F,Ship,150,2,medium,M,3,1285,4,4,1,Light,0,Low,4,2,1,1
177,A,Ship,192,3,high,M,20,3872,4,5,1,Medium,0,Medium,0,2,2,1
178,B,Ship,116,3,medium,M,54,1314,4,5,1,Light,0,High,1,2,1,1
179,C,Ship,192,3,medium,F,2,3995,3,3,1,Medium,0,Low,2,2,1,0
180,F,Ship,255,4,medium,M,3,3440,5,5,1,Medium,1,Low,4,2,1,1
181,D,Ship,161,7,medium,F,18,1294,4,1,1,Light,0,Medium,3,2,1,0
182,F,Ship,157,3,low,M,20,1487,4,5,1,Light,0,Medium,4,2,0,1
183,A,Ship,164,10,high,F,28,1940,3,2,1,Light,0,Medium,0,2,2,0
184,B,Ship,162,7,medium,F,16,1052,3,5,1,Light,0,Medium,1,2,1,0
185,C,Ship,146,2,low,M,50,1486,3,3,1,Light,0,High,2,2,0,1
186,F,Ship,209,3,medium,M,54,3001,3,2,1,Medium,0,High,4,2,1,1
187,D,Ship,134,2,medium,F,55,1386,5,4,1,Light,0,High,3,2,1,0
188,F,Ship,222,2,medium,M,5,3778,2,1,1,Medium,0,Low,4,2,1,1
189,A,Ship,139,3,low,F,27,1233,2,5,1,Light,0,Medium,0,2,0,0
190,B,Ship,134,3,low,F,42,1415,2,4,1,Light,0,High,1,2,0,0
191,C,Ship,130,3,low,M,16,1092,2,5,1,Light,0,Medium,2,2,0,1
192,F,Ship,133,3,low,F,62,1596,2,5,1,Light,0,High,4,2,0,0
193,D,Ship,140,3,low,F,7,1411,2,4,1,Light,0,Low,3,2,0,0
194,F,Ship,158,3,low,M,28,1968,2,2,1,Light,0,Medium,4,2,0,1
195,A,Ship,270,4,low,F,46,1736,4,2,1,Light,1,High,0,2,0,0
196,B,Ship,140,3,low,F,30,1030,2,5,1,Light,0,Medium,1,2,0,0
197,C,Ship,135,3,low,M,15,1339,2,2,1,Light,0,Medium,2,2,0,1
198,F,Ship,136,3,low,F,19,1568,2,3,1,Light,0,Medium,4,2,0,0
199,D,Ship,142,3,medium,F,38,7640,2,3,1,Very Heavy,0,High,3,2,1,0
200,F,Ship,154,3,medium,M,38,7846,2,2,1,Very Heavy,0,High,4,2,1,1
201,A,Ship,139,3,low,M,9,1471,2,3,1,Light,0,Low,0,2,0,1
202,B,Ship,160,3,low,F,43,1251,2,3,1,Light,0,High,1,2,0,0
203,C,Ship,134,3,low,M,58,1067,2,4,1,Light,0,High,2,2,0,1
204,F,Ship,161,5,high,M,48,1883,5,3,1,Light,0,High,4,2,2,1
205,D,Ship,155,3,low,M,23,1602,2,5,1,Light,0,Medium,3,2,0,1
206,F,Ship,145,3,medium,F,24,7588,2,3,1,Very Heavy,0,Medium,4,2,1,0
207,A,Ship,157,3,low,M,1,1477,2,2,1,Light,0,Low,0,2,0,1
208,B,Ship,160,3,low,M,48,1691,2,2,1,Light,0,High,1,2,0,1
209,C,Ship,152,3,low,M,55,1498,2,4,1,Light,0,High,2,2,0,1
210,F,Ship,148,3,high,F,11,1502,2,5,1,Light,0,Medium,4,2,2,0
211,D,Ship,127,3,low,F,15,1522,2,1,1,Light,0,Medium,3,2,0,0
212,F,Ship,154,3,low,F,21,1113,2,5,1,Light,0,Medium,4,2,0,0
213,A,Ship,127,3,low,M,44,1341,2,5,1,Light,0,High,0,2,0,1
214,B,Ship,160,3,medium,F,31,7401,2,5,1,Very Heavy,0,High,1,2,1,0
215,C,Ship,129,3,low,F,48,1219,2,4,1,Light,0,High,2,2,0,0
216,F,Ship,158,3,low,F,40,1722,2,5,1,Light,0,High,4,2,0,0
217,D,Ship,185,3,medium,M,3,3131,4,3,1,Medium,0,Low,3,2,1,1
218,F,Ship,176,4,high,F,63,1293,4,4,1,Light,0,High,4,2,2,0
219,A,Ship,148,3,low,M,37,1523,3,4,1,Light,0,High,0,2,0,1
220,B,Ship,270,3,low,M,60,3885,3,5,1,Medium,1,High,1,2,0,1
221,C,Ship,242,3,low,M,29,2381,3,4,1,Medium,0,Medium,2,2,0,1
222,F,Ship,150,2,medium,M,31,1588,4,3,1,Light,0,High,4,2,1,1
223,D,Ship,192,3,high,M,4,2061,4,2,1,Medium,0,Low,3,2,2,1
224,F,Ship,116,3,medium,F,9,1314,4,5,1,Light,0,Low,4,2,1,0
225,A,Ship,192,3,medium,F,31,3331,3,4,1,Medium,0,High,0,2,1,0
226,B,Ship,255,4,medium,F,38,2771,5,4,1,Medium,1,High,1,2,1,0
227,C,Ship,161,7,medium,M,63,1496,4,3,1,Light,0,High,2,2,1,1
228,F,Ship,157,3,low,F,48,1393,4,2,1,Light,0,High,4,2,0,0
229,D,Ship,164,10,high,M,14,1375,3,2,1,Light,0,Medium,3,2,2,1
230,F,Ship,162,7,medium,F,42,1278,3,3,1,Light,0,High,4,2,1,0
231,A,Ship,146,2,low,F,54,1528,3,1,1,Light,0,High,0,2,0,0
232,B,Ship,209,3,medium,F,60,2240,3,4,1,Medium,0,High,1,2,1,0
233,C,Ship,134,2,medium,M,53,1088,5,5,1,Light,0,High,2,2,1,1
234,F,Ship,222,2,medium,M,58,3626,2,1,1,Medium,0,High,4,2,1,1
235,D,Ship,139,3,low,F,39,1582,2,1,1,Light,0,High,3,2,0,0
236,F,Ship,134,3,low,M,38,1352,2,2,1,Light,0,High,4,2,0,1
237,A,Ship,130,3,low,F,48,1801,2,3,1,Light,0,High,0,2,0,0
238,B,Ship,133,3,low,M,5,1268,2,2,1,Light,0,Low,1,2,0,1
239,C,Ship,140,3,low,F,23,1372,2,3,1,Light,0,Medium,2,2,0,0
240,F,Ship,158,3,low,M,10,1515,2,3,1,Light,0,Low,4,2,0,1
241,D,Ship,270,4,low,M,65,1818,4,5,1,Light,1,High,3,2,0,1
242,F,Ship,140,3,low,F,33,1278,2,4,1,Light,0,High,4,2,0,0
243,A,Ship,135,3,low,M,58,1734,2,2,1,Light,0,High,0,2,0,1
244,B,Ship,136,3,low,M,43,1958,2,4,1,Light,0,High,1,2,0,1
245,C,Ship,142,3,medium,F,8,6064,2,1,1,Very Heavy,0,Low,2,2,1,0
246,F,Ship,154,3,medium,F,48,7684,2,4,1,Very Heavy,0,High,4,2,1,0
247,D,Ship,139,3,low,F,3,1788,2,3,1,Light,0,Low,3,2,0,0
248,F,Road,160,3,low,F,50,1030,2,4,1,Light,0,High,4,1,0,0
249,A,Road,134,3,low,F,38,1530,2,2,1,Light,0,High,0,1,0,0
250,B,Road,161,5,high,F,54,1511,5,5,1,Light,0,High,1,1,2,0
251,C,Road,155,3,low,F,45,1639,2,3,1,Light,0,High,2,1,0,0
252,F,Road,145,3,medium,F,5,6102,2,2,1,Very Heavy,0,Low,4,1,1,0
253,D,Road,157,3,low,M,58,1930,2,1,1,Light,0,High,3,1,0,1
254,F,Road,160,3,low,F,19,1399,2,5,1,Light,0,Medium,4,1,0,0
255,A,Road,152,3,low,F,61,1800,2,2,1,Light,0,High,0,1,0,0
256,B,Road,148,3,high,F,35,1349,2,2,1,Light,0,High,1,1,2,0
257,C,Road,127,3,low,M,13,1128,2,2,1,Light,0,Medium,2,1,0,1
258,F,Road,129,3,medium,F,22,6614,2,2,1,Very Heavy,0,Medium,4,1,1,0
259,D,Road,158,3,low,F,13,1245,2,3,1,Light,0,Medium,3,1,0,0
260,F,Road,147,3,low,M,5,1920,2,4,1,Light,0,Low,4,1,0,1
261,A,Road,159,3,low,F,49,1621,2,5,1,Light,0,High,0,1,0,0
262,B,Road,151,3,low,F,23,1930,2,3,1,Light,0,Medium,1,1,0,0
263,C,Road,294,4,low,F,52,1089,3,1,1,Light,1,High,2,1,0,0
264,F,Road,226,2,medium,M,45,1446,3,2,1,Light,0,High,4,1,1,1
265,D,Road,271,5,high,M,9,1813,5,3,1,Light,1,Low,3,1,2,1
266,F,Road,203,5,medium,F,61,1856,7,2,1,Light,0,High,4,1,1,0
267,A,Road,264,4,low,F,10,1648,2,3,1,Light,1,Low,0,1,0,0
268,B,Road,258,3,medium,M,36,2211,4,1,1,Medium,1,High,1,1,1,1
269,C,Road,241,3,low,F,21,3078,3,5,1,Medium,0,Medium,2,1,0,0
270,F,Flight,208,3,medium,M,23,2056,4,5,1,Medium,0,Medium,4,0,1,1
271,D,Flight,209,5,medium,F,12,3054,3,2,1,Medium,0,Medium,3,0,1,0
272,F,Flight,182,2,medium,F,23,2707,5,1,1,Medium,0,Medium,4,0,1,0
273,A,Flight,148,2,medium,F,43,1087,4,5,1,Light,0,High,0,0,1,0
274,B,Flight,183,2,medium,F,52,3199,2,3,1,Medium,0,High,1,0,1,0
275,C,Flight,229,6,medium,M,22,2717,3,5,1,Medium,0,Medium,2,0,1,1
276,F,Flight,115,5,low,F,26,1692,5,5,1,Light,0,Medium,4,0,0,0
277,D,Flight,136,3,low,F,65,1962,4,2,1,Light,0,High,3,0,0,0
278,F,Flight,212,3,low,M,21,3307,4,4,1,Medium,0,Medium,4,0,0,1
279,A,Flight,171,3,low,F,24,1304,4,3,1,Light,0,Medium,0,0,0,0
280,B,Flight,151,2,low,M,60,1925,3,1,1,Light,0,High,1,0,0,1
281,C,Flight,205,3,medium,M,39,3062,3,1,1,Medium,0,High,2,0,1,1
282,F,Flight,147,3,medium,M,23,1132,5,4,1,Light,0,Medium,4,0,1,1
283,D,Flight,155,3,low,F,29,1712,3,3,1,Light,0,Medium,3,0,0,0
284,F,Flight,165,3,low,F,20,1150,5,4,1,Light,0,Medium,4,0,0,0
285,A,Flight,230,3,low,F,32,3249,5,5,1,Medium,0,High,0,0,0,0
286,B,Flight,181,4,medium,M,13,2309,2,4,1,Medium,0,Medium,1,0,1,1
287,C,Flight,234,2,low,F,55,3308,5,3,1,Medium,0,High,2,0,0,0
288,F,Flight,149,3,low,M,34,1977,4,4,1,Light,0,High,4,0,0,1
289,D,Flight,156,2,low,M,44,1561,5,5,1,Light,0,High,3,0,0,1
290,F,Flight,172,3,medium,F,59,1858,4,2,1,Light,0,High,4,0,1,0
291,A,Flight,270,3,low,M,12,3279,4,4,1,Medium,1,Medium,0,0,0,1
292,B,Ship,206,3,medium,M,23,3807,4,1,1,Medium,0,Medium,1,2,1,1
293,C,Ship,211,4,medium,M,40,3106,4,3,1,Medium,0,High,2,2,1,1
294,F,Ship,136,4,low,M,62,1090,3,2,1,Light,0,High,4,2,0,1
295,D,Ship,186,2,high,F,52,3981,5,1,1,Medium,0,High,3,2,2,0
296,F,Ship,202,2,medium,M,62,3398,3,1,1,Medium,0,High,4,2,1,1
297,A,Ship,183,3,medium,F,12,3646,4,2,1,Medium,0,Medium,0,2,1,0
298,B,Ship,232,2,low,M,36,2861,4,4,1,Medium,0,High,1,2,0,1
299,C,Ship,147,4,medium,M,52,1129,4,2,1,Light,0,High,2,2,1,1
300,F,Ship,136,3,medium,M,20,1531,4,3,1,Light,0,Medium,4,2,1,1
301,D,Ship,127,3,low,F,43,1446,5,3,1,Light,0,High,3,2,0,0
302,F,Ship,202,2,medium,M,35,3695,4,5,1,Medium,0,High,4,2,1,1
303,A,Ship,241,2,low,M,57,3671,3,4,1,Medium,0,High,0,2,0,1
304,B,Ship,222,2,medium,M,55,3833,4,3,1,Medium,0,High,1,2,1,1
305,C,Ship,183,4,medium,F,12,2777,3,2,1,Medium,0,Medium,2,2,1,0
306,F,Ship,249,3,medium,F,36,3769,4,4,1,Medium,0,High,4,2,1,0
307,D,Ship,243,4,high,M,59,3838,3,1,1,Medium,0,High,3,2,2,1
308,F,Ship,163,3,medium,M,9,1257,3,3,1,Light,0,Low,4,2,1,1
309,A,Ship,165,2,high,M,11,1596,4,2,1,Light,0,Medium,0,2,2,1
310,B,Ship,266,3,medium,F,53,3089,5,5,1,Medium,1,High,1,2,1,0
311,C,Ship,193,2,medium,M,48,3909,3,4,1,Medium,0,High,2,2,1,1
312,F,Ship,154,3,low,F,56,1136,3,2,1,Light,0,High,4,2,0,0
313,D,Ship,140,3,medium,M,51,1046,3,3,1,Light,0,High,3,2,1,1
314,F,Ship,272,3,medium,M,38,3705,4,3,1,Medium,1,High,4,2,1,1
315,A,Ship,143,6,medium,M,20,1654,4,2,1,Light,0,Medium,0,2,1,1
316,B,Ship,138,3,low,F,30,1805,4,2,1,Light,0,Medium,1,2,0,0
